freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.952e+02,7.584e+00,8.450e+00,3.112e+02
1.5,1.790e+02,1.408e+01,1.475e+01,2.078e+02
3.0,2.729e+01,1.432e+01,1.332e+01,5.492e+01
4.5,2.647e+02,1.396e+01,1.373e+01,2.924e+02
6.0,1.098e+03,1.482e+01,1.394e+01,1.126e+03
7.5,1.835e+03,1.436e+01,1.267e+01,1.862e+03
9.0,2.678e+03,1.578e+01,1.339e+01,2.707e+03
10.5,3.712e+03,1.710e+01,1.532e+01,3.745e+03
12.0,4.978e+03,1.796e+01,1.652e+01,5.013e+03
13.5,6.551e+03,2.090e+01,1.776e+01,6.589e+03
15.0,8.503e+03,2.312e+01,2.020e+01,8.547e+03
16.5,1.079e+04,2.767e+01,2.309e+01,1.084e+04
18.0,1.307e+04,2.764e+01,3.334e+01,1.313e+04
19.4,1.503e+04,3.062e+01,4.414e+01,1.511e+04
20.9,1.684e+04,2.963e+01,3.906e+01,1.691e+04
22.4,1.955e+04,3.025e+01,3.556e+01,1.962e+04
23.9,2.450e+04,3.348e+01,7.181e+01,2.460e+04
25.4,2.757e+04,9.418e+01,9.472e+01,2.776e+04
26.9,2.696e+04,1.989e+02,8.173e+01,2.724e+04
28.4,2.593e+04,2.880e+02,5.721e+01,2.628e+04
29.9,2.659e+04,3.973e+02,4.572e+01,2.704e+04
31.4,2.835e+04,5.679e+02,4.636e+01,2.896e+04
32.9,3.003e+04,5.517e+02,5.427e+01,3.064e+04
34.4,3.197e+04,3.464e+02,6.239e+01,3.238e+04
35.9,3.714e+04,3.373e+02,5.950e+01,3.754e+04
37.4,4.638e+04,4.143e+02,4.427e+01,4.683e+04
38.9,5.558e+04,2.590e+02,1.212e+02,5.596e+04
40.4,4.439e+04,1.557e+02,2.438e+02,4.479e+04
41.9,3.441e+04,2.843e+02,2.474e+02,3.494e+04
43.4,3.917e+04,5.234e+02,2.597e+02,3.995e+04
44.9,4.615e+04,8.936e+02,3.066e+02,4.735e+04
46.4,5.195e+04,8.337e+02,1.990e+02,5.298e+04
47.9,5.835e+04,6.118e+02,8.507e+01,5.904e+04
49.4,6.288e+04,5.498e+02,3.403e+01,6.346e+04
50.9,6.625e+04,4.889e+02,1.922e+01,6.675e+04
